ï»¿Unidade da FederaÃ§Ã£o;Ãrea;Sexo;Idade;Cor ou raÃ§a;Ofensa/humilhaÃ§Ã£o em pÃºblico (12 meses);Gritos/xingamentos (12 meses);AmeaÃ§as/redes sociais (12 meses);AmeaÃ§a contra pessoa importante (12 meses);Destruiu algo seu (12 meses);FrequÃªncia da violÃªncia psicolÃ³gica;Autor da violÃªncia psicolÃ³gica;Local da violÃªncia psicolÃ³gica;AgressÃ£o fÃ­sica: tapa/bofetada;AgressÃ£o fÃ­sica: empurrÃ£o/segurar/jogar objeto;AgressÃ£o fÃ­sica: soco/chute/puxÃ£o de cabelo;AgressÃ£o fÃ­sica: estrangular/asfixiar/queimar;AgressÃ£o fÃ­sica com arma (faca, arma de fogo);FrequÃªncia da agressÃ£o fÃ­sica;Autor da agressÃ£o fÃ­sica;Local da agressÃ£o fÃ­sica;ViolÃªncia sexual (12 meses): toque/beijo/manipulaÃ§Ã£o;ViolÃªncia sexual (12 meses): ameaÃ§a/forÃ§ar ato sexual;ViolÃªncia sexual na vida: toque/beijo/manipulaÃ§Ã£o;ViolÃªncia sexual na vida: ameaÃ§a/forÃ§ar ato sexual;FrequÃªncia da violÃªncia sexual;Autor da violÃªncia sexual;Local da violÃªncia sexual;Deixou de realizar atividades por causa da violÃªncia sexual;ConsequÃªncia fÃ­sica por ato sexual forÃ§ado;ConsequÃªncia psicolÃ³gica por ato sexual forÃ§ado;DST ou gravidez por ato sexual forÃ§ado;Buscou atendimento de saÃºde;Recebeu atendimento de saÃºde;Local do atendimento de saÃºde;InternaÃ§Ã£o por 24h ou mais
Paraã­Ba;Urbano;Feminino;23;Branca;Nã£O;Nã£O;Nã£O;Sim;Nã£O;Algumas Vezes;Amigo/Colega/Vizinho;Internet/Redes Sociais;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;21;Preta;Sim;Sim;Sim;Sim;Nã£O;Algumas Vezes;Cã´Njuge/Companheiro(A);Bar/Restaurante;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;55;Branca;Nã£O;Nã£O;Nã£O;Nã£O;Sim;Algumas Vezes;Outro Parente;Via Pãºblica;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;58;Parda;Sim;Nã£O;Nã£O;Nã£O;Nã£O;Algumas Vezes;Amigo/Colega/Vizinho;Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;57;Branca;Nã£O;Nã£O;Sim;Sim;Nã£O;Uma Vez;Amigo/Colega/Vizinho;Internet/Redes Sociais;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;47;Parda;Sim;Sim;Nã£O;Sim;Nã£O;Algumas Vezes;Pessoa Desconhecida;Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Sim;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;88;Branca;Nã£O;Sim;Nã£O;Nã£O;Nã£O;Algumas Vezes;Outro Parente;Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;52;Parda;Nã£O;Nã£O;Nã£O;Sim;Nã£O;Uma Vez;Irmã£O(Ã£);Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;56;Branca;Sim;Sim;Nã£O;Nã£O;Nã£O;Algumas Vezes;Cã´Njuge/Companheiro(A);Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;65;Branca;Nã£O;Sim;Nã£O;Nã£O;Nã£O;Uma Vez;Amigo/Colega/Vizinho;Via Pãºblica;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;40;Parda;Sim;Sim;Nã£O;Sim;Nã£O;Muitas Vezes;Amigo/Colega/Vizinho;Trabalho;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;42;Parda;Sim;Sim;Sim;Sim;Nã£O;Algumas Vezes;Ex-Cã´Njuge/Companheiro(A);Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;61;Parda;Nã£O;Sim;Nã£O;Sim;Nã£O;Uma Vez;Amigo/Colega/Vizinho;Via Pãºblica;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Sim;Sim;Ubs/Psf;Nã£O,
Paraã­Ba;Urbano;Feminino;41;Parda;Nã£O;Sim;Nã£O;Nã£O;Nã£O;Uma Vez;Amigo/Colega/Vizinho;Trabalho;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;18;Parda;Sim;Sim;Nã£O;Sim;Sim;Muitas Vezes;Ex-Cã´Njuge/Companheiro(A);Residãªncia;Sim;Sim;Sim;Sim;Sim;Muitas Vezes;Ex-Cã´Njuge/Companheiro(A);Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Sim;Sim;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;50;Preta;Sim;Sim;Sim;Sim;Sim;Algumas Vezes;Ex-Cã´Njuge/Companheiro(A);Residãªncia;Nã£O;Sim;Nã£O;Nã£O;Sim;Algumas Vezes;Ex-Cã´Njuge/Companheiro(A);Residãªncia;Nã£O;Nã£O;Sim;Sim;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Sim;Nã£O Aplicã¡Vel;Sim;Sim;Consultã³Rio/Clã­Nica Privada;Nã£O,
Paraã­Ba;Urbano;Feminino;53;Indã­Gena;Sim;Sim;Nã£O;Nã£O;Nã£O;Algumas Vezes;Filho(A)/Enteado(A);Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Sim;Sim;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;47;Parda;Sim;Sim;Sim;Sim;Sim;Muitas Vezes;Amigo/Colega/Vizinho;Residãªncia;Nã£O;Sim;Sim;Sim;Sim;Muitas Vezes;Outro Parente;Via Pãºblica;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Sim;Sim;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Urbano;Feminino;47;Parda;Sim;Nã£O;Nã£O;Sim;Nã£O;Uma Vez;Amigo/Colega/Vizinho;Trabalho;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
Paraã­Ba;Rural;Feminino;42;Parda;Sim;Sim;Nã£O;Nã£O;Nã£O;Algumas Vezes;Outro Parente;Residãªncia;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O;Nã£O;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Sim;Nã£O Aplicã¡Vel;Nã£O;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel;Nã£O Aplicã¡Vel,
